;;;;;;;
;Ragione sociale;Indirizzo;Telefono;Email;Abbonamento;Invia Attestato;"azienda 
ente"
;;- -;;;Az clienti;;
;"""IL PANIFICIO"" DI PERUFFO VALENTINO";Via Marconi, 14 - Montagnana - 35044;429804286;donabatt@gmail.com;Az clienti;;
;2B S.R.L.;Via Sangallo n. 140 - Poggibonsi - 53036;;donatella@2bsrl.com;;;
;2M IMPIANTI SRL;Via IV Novembre 2 - Ghedi - 25016;030-6185877;amministrazione.2mdb@gmail.com;Az clienti;;
;3 B IMPIANTI ELETTRICI S.R.L.;VIA COMUNETTO, 8/A - Castelfranco Veneto - 31033;;3bimpiantielettrici@gmail.com;Az clienti;;
;3 ELLE S.R.L.;Strada di Chiano, 9/A - 9/B - Barberino Val d'Elsa - 50021;;info@3elle.biz;Az clienti;;
;3E INGEGNERIA SRL;Via Volpe n. 92 - PISA - 56121;050-44428;giovanni.saraceno@3eingegneria.it;Az clienti;;
;3LAYERS TECHNOLOGIES SRL;Via Antonio Meucci 8 - 20128 - 20128;3515439397;wasehtanoli@gmail.com;Az clienti;;
;3LAYERS TECHNOLOGIES SRL;Via Antonio Meucci 8 - MILANO - 20128;;Fakharzaman196@gmail.com;Az clienti;;
;7489 SRLS;VIA - GENOVA - 25100;;corsi7489@gmail.com;CONSULENTI 1500;;
;A.C. DI CIRELLI ALESSANDRO & C SNC;Via del Lavoro, 4 - marcaria - 46.010;;info@cirellionline.it;Az clienti;;
;A.C. SEVICE DI BREGOLI P.ANTONIO;VIA DON C. GRECI 16 - PORZANO DI LENO - 25024;;;Az clienti;;
;A.C.L.I. BETTOLE-BUFFALORA;VIA BUFFALORA, 89 - Brescia - 25129;;business@afabi.it;Az clienti;;
;A.D.G. IMPIANTI TECNOLOGICI - SNC DI BADINI ANDREA, BIGNOTTI DANIELE, CERUTTI GIOVANNI E PIZZINI MARCO;VIA MAZZINI, 12/B - GAMBARA - 25020;;ADGIMPIANTITECNOLOGICI@LEGALMAIL.IT;Az clienti;;
;A.D.V. ASSOCIAZIONE DI AVVOCATI DELEGATI ALLE VENDITE;Via Emilia, 98 - - Voghera - 27058;;;Az clienti;;
;A.I. COMPUTER DI CANU VITTORIO E C. S.A.S.;vittorio@aicomputer.it - Vinovo - 10048;;;Az clienti;;
