;;;;;;;
;Ragione sociale;Indirizzo;Telefono;Email;Abbonamento;Invia Attestato;azienda
;BIETEC SRL;Piazza Della Liberta 35 - Alessandria - 15121;;amministrazione@bietec.it;Az clienti;;
;BRUSATO SAS DI BRUSATO ARMANDO & C;VIA MARTIRI DELLA RESISTENZA 10 - PIACENZA - 29122;;info@brusato.it;Az clienti;;
;CAFFE' MAMELI DI CICOGNA VALENTINA;Via Mameli 7/A - Casale Monferrato - 15033;;caffemameli@gmail.com;Az clienti;;
;CAPOGIRO DI SCIARRINO MARIA;Via Volpi, 11 - CASALE MONFERRATO - 15033;142409387;sciama@live.it;Az clienti;;
;COOP CONSUMO IL MONFERRATO NUOVO SRL;Via Matteotti, 9 - CASALE MONFERRATO - 15033;3498499158;amegliovaleria@gmail.com;Az clienti;;
;DOMOGAS SAS DI CAVALLI ELISABETTA & C.;Via Turcotti, 6/8 - Zona Ind. - CASALE MONFERRATO - 15033;14277225;info@domogas.it;Az clienti;;
;ELETTRICA IMPIANTI S.R.L.;Strada Mortara 29 Fraz. Terranova - Casale Monferrato - 15033;;info@elettricaimpiantisrl.it;Az clienti;;
;EMME & GI SNC DI GARRONE E ROSSI;Via Tarantelli, 15/17 - CASALE MONFERRATO - 15033;14270088;emmeegisnc@email.it;Az clienti;;
;GEOTRAVELS SRL;Piazza della Vittoria 57/R - Genova - 16121;;geotravels@statcasale.com;Az clienti;;
;GOLD TRAVEL SRL;Via Melgara, 2 - Valenza - 15048;;goldtravel@goldtravel.it;Az clienti;;
;LANTERNA BLU SAS DI NOVELLI TIMOTHY E C.;LOC GAMINELLA - VIA GAMINELLA, 16 - MOMBELLO MONFERRATO - 15020;;camerelanternablu@gmail.com;Az clienti;;
;LEAVI SRL;VIA LEGNANO 46 - ALESSANDRIA - 15121;;alberto@zingarini.it;Az clienti;;
;LO SCATOLINO DEL BUON GUSTAIO DI RICARDI FABIO & C.;Corso Valentino, 53/A - Casale Monferrato - 15033;3383579218;lupano73@hotmail.it;Az clienti;;
;MARCO PASERO E C SAS;Viale Bistolfi, 32 - CASALE MONFERRATO - 15033;;ammin.pasero@oropas.it;Az clienti;;
;MONTEMEZZO PAOLO;Via Braia, 9 - TERRUGGIA - 15030;;montemezzo.impianti@gmail.com;Az clienti;;
;MOONFRA SRL;Via Duchessa Jolanda 10 - Torino - 10138;;amministrazione@birrificiomoonfra.com;Az clienti;;
;MORERA&AUGUSTI SRL;Via Solferino 8 - Casale Monferrato - 15033;;amministrazione@moreraeaugusti.it;Az clienti;;
;MOTOFORNITURE CODRINO PIERO SNC;Corso Valentino 137 - Casale Monferrato - 15033;;codrinoe.piero@gmail.com;Az clienti;;
;NOTAIO MILANO DOTT.ROBERTO;Via Garibaldi, 45 - CASALE MONFERRATO - 15033;;rmilano@notariato.it;Az clienti;;
;PARENTESIKUADRA SRL;Cascina Cagnolata 29 Rosignano Monferrato15030;;commerciale@parentesikuadra.it;ENTI AUTORIZZATI 1500;;
;PREFABBRICATI EL.BA. SRL;Via Casale, 19 - OCCIMIANO - 15040;142809159;info@prefabbricatielba.it;Az clienti;;
;RAG.FERRARIS ANNAMARIA;Via Matteotti 6 - Casale Monferrato - 15033;;info@ferrarisannamariacdl.it;Az clienti;;
;RATTI GOMME SNC;Strada Provinciale Torino Svizzera 15 - Carisio - 13040;;rattigomme@gmail.com;Az clienti;;
;REWALL SRL;Via Felice Cavallotti 15 - MILANO - 20122;;info@rewall.it;Az clienti;;
;RISTOVINERIA LE TERRE DEL GRIGNOLINO DI M.C.R. SNC DI MINOTTO R.&C.;via Cardinal Massaia, 53 - Casale Monferrato - 15033;;terredelgrignolino@libero.it;Az clienti;;
;ROFUL SNC DI BERNARDI R. E PASCO F.;Strada Vecchia Vercelli, 43 - Fraz. Popolo - CASALE MONFERRATO - 15033;142464141;info@roful.it;Az clienti;;
;S.T.A.C. SRL;Via Pier Enrico Motta 30 - Casale Monferrato - 15033;;autoticinostac@statcasale.com;Az clienti;;
;SANBER SRL;Via Pier Enrico Motta, 3 - Casale Monferrato - 15033;;amministrazione@sanber.it;Az clienti;;
;SITIL SAS;Via Isonzo, 8 - Milano - 20135;142452696;info@sitilimpianti.it;Az clienti;;
;SOLUZIONI SRL;Piazza della libert 35 - Alessandria - 15121;;amministrazione@soluzioni.help;Az clienti;;
;STAT TURISMO SRL;Via Pier Enrico Motta 30 - Casale Monferrato - 15033;;statturismo@statcasale.com;Az clienti;;
;STAT VIAGGI SRL;Via Motta 28/30 - Casale Monferrato - 15033;;statviaggi@statcasale.com;Az clienti;;
;STAZIONE DI SERVIZIO TAMOIL MENEGHETTI ALESSANDRO;Via Roma, 111 - OZZANO MONFERRATO - 15039;3408312919;alemene94@hotmail.it;Az clienti;;
;STUDIO LENTINI DI LENTINI MAURO;Via G. Lanza, 99 - CASALE MONFERRATO - 15033;335365189;mauro@studiolentini.it;Az clienti;;
;TAVERNESE DAVIDE;Str. Collina Ronzone, 17 - CASALE MONFERRATO - 15033;3409237758;davidetavernese@gmail.com;Az clienti;;
;TECNOLOGIE MECCANICHE SRL;Via Giuseppe Visconti 2/D - Casale Monferrato - 15033;;ammin@tecmec.biz;Az clienti;;
;TIRONE RUSTICHELLI SRL;VIA F.LLI BAGNA 25 - CASALE MONFERRATO - 15033;;info@tironesrl.it;Az clienti;;
;VALENTINI SRL;Via C. Battisti, 3 - VALENZA - 15048;131941000;valentini@valentinigems.it;Az clienti;;
;VALLE AGRICOLA TARDITI E FERRANDO SPA;Via Nazionale 43 - Cerrina - 15020;0141 993212;ferrando@valleagricola.eu;Az clienti;;
;VOLPI LICURGO SRL;Piazza della Vittoria 57/59 R - Genova - 16121;;volpi@statcasale.com;Az clienti;;
;VOYAGER SRL;VIA MALTA, 56 R - GENOVA - 16121;;elisa.giunipero@statcasale.com;Az clienti;;
;YUDANSHAKAI SAN SALVATORE A.S.D.;Via Gabotto 14 - Casale Monferrato - 15033;;info@yudanshakai-sansalvatore.it;Az clienti;;
